label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,46,46,44,154.062363,7.903,0.855999,[M-H]-,,Histidine,Histidine,C6H9N3O2,0.173,1.089473,154.062363,0,0,0,34935.85,57084.95,92501.9,89041.45,79318,829469.19,190264.27,417082.5,490067.5,167293.33,1157802.12,158373.73,602441.06,364399,98866.84,113192.34,370526.5,71872.66,699275.19,226085.12,269088.91,134106.58,18329.02,236302.33,53701.16,101088.74,61278.72,44331.92,282493.84,46386.41,220050.38,133024.61,95423.6,32015.31,81934.53,837167,323773.31,338378.72,320638.47,1491785.62,210811.2,515063.34,352340.78,566498.06,303998.34
,47,47,38,168.078018,7.518,0.85193,[M-H]-,,1-Methylhistidine,1-Methylhistidine,C7H11N3O2,0.202,0.998625,168.078018,0,0,0,38835.62,43181.5,58131.5,18274.56,5339.72,86163.83,35570.02,12831.17,23939.88,16447.95,147030.59,60030.51,18444.54,9578.14,0,27959.32,17039.48,52945.81,100139.53,21216.26,32892.38,16353.86,13937.58,50814.71,27769.88,35005.25,19424.73,22982.33,36857.83,11750.55,31002.59,36088.9,3832.52,18903.15,17565.56,4901.88,25309.34,16068.44,19356.52,88993.52,5306.73,42295.36,25484.29,45210.03,60674.99
,48,48,45,341.10907,6.999,0.854038,[M-H]-,,Sucrose,Sucrose,C12H22O11,0.651,0.357863,341.10907,0,0,0,198568.42,385775.5,1042828.19,419642.75,182974.45,197184.08,110404.4,174291.83,505224.53,1301567.62,172137.33,510196.38,391928.03,186324.8,475861.03,204314.8,59854.41,619629.44,252808.06,114998.18,321933.84,209200.38,273168.53,490332.72,45533.42,353673.5,364892,961460.5,89221.07,189194.36,590377,1081979.88,952380,732945.75,368701.47,1795145,1823235,515123,374052.78,687030.5,1242143.62,1249286.88,1300355.25,668156.56,649597.62
,49,49,44,164.038635,7.029,0.854095,[M-H]-,,Methionine sulfoxide,Methionine sulfoxide,C5H11NO3S,0.551,0.372078,164.038635,0,0,0,18514.56,12545.4,30163.79,19376.88,26246.7,71334.34,143607.89,45402.8,265519.38,68359.82,43764.45,24714.38,101962,132832.83,31354.14,26714.23,65216.7,33194.66,81773.4,82707.67,58392.92,79597.16,82477.45,115445.79,28767.59,21182.11,13773.65,27042.84,94889.84,31933.97,30252.54,62624.82,41102.48,58185.68,85154.52,108572.35,46683.19,56550.18,141686.02,80309.03,39122.48,52000.88,44617.23,119732.45,88497.7
,50,50,45,74.02478,6.835,0.853558,[M-H]-,,Glycine,Glycine,C2H5NO2,0.565,0.412262,74.02478,3935.01,3680.37,2969.71,134673.42,184358.42,260547.75,258102.36,211333.25,601710.44,479607.41,686645.69,1053035.75,367476,835552.75,234255.36,745949.06,977192.75,149908.17,501631.59,198511.36,236354.25,1193191.62,249130.86,356610.72,152397.19,114576.06,280795.12,133740.7,200264.19,153627.59,235593.38,138344.45,121458.34,225390.33,228739.61,1682107,196861.86,158197.27,456414.12,466140.22,830069.31,335207.12,714451.69,312424.16,436116.66,327684.5,658354.5,213301.94
,51,51,45,118.051033,6.728,0.837995,[M-H]-,,Threonine,Threonine,C4H9NO3,0.372,0.581652,118.051033,2698.01,0,4374.08,1011636.94,2340289.25,2168647.25,1462143.38,1390179.75,2867828.25,1601673.88,1550145.88,4296235.5,1308996.12,2104476.75,641515.75,1240042.5,1848725.38,614774.06,1959212.38,1199887,1387071.38,3378548,1107168.62,1420081,939688.31,779017.81,1436480.62,485035.38,2006664.38,614018.31,1811830.38,720028.94,643129.88,5107924,1400135.88,3189361.25,2180140,1316549.88,3123985.75,3942829,1110808.12,1052856.38,2086862.5,2713930,2286811.75,1633688.38,6168855.5,1484460.88
,52,52,45,88.040321,6.419,0.854855,[M-H]-,,Alanine,Alanine,C3H7NO2,0.511,0.953237,88.040321,12921.69,9838.69,16457.23,929187.69,994536.19,1984439.38,627077.38,1124790.62,1523615.5,1095322.12,1091592.62,1412626.38,901684.19,797214.31,425866.03,1900544.5,1037250.81,435374.66,1875012.5,734347.5,1599819,5219960.5,1149404,780037.19,532438.94,518170.16,832749.75,565667.69,450940.25,469059.09,675287.56,497931.34,441228,1737218.62,1620329,1790773,1419567,1343467,794736,1102846.5,716621.75,1169956.25,1336174.62,799631.81,1132745.62,624010.69,1102250.75,714012.19
,53,53,44,135.029877,6.412,0.856523,[M-H]-,,Threonic acid,Threonic acid,C4H8O5,0.498,0.113003,135.029877,0,0,0,200098.3,2384771.75,13600040,4664084.5,1180609.12,1346875.12,10801589,1741663,15898371,156665.73,993533,141107.55,2427025,16406293,19088958,301913.72,21492014,4019340.75,718671.81,4466886.5,352716.78,20053362,19661662,1186015.88,693393.62,373044.88,154227.45,4791914,10904031,3824203.25,345844.16,13418733,1136345.38,14908891,18306906,6318747.5,5170244,3166197.25,4505316.5,818833.19,2843069.75,370293.22,156267.55,5822192,19221174
,54,54,32,130.051102,6.414,0.848489,[M-H]-,,Hydroxyproline,Hydroxyproline,C5H9NO3,0.476,1.055964,130.051102,0,0,0,16619.73,24648.88,14781.76,35870.48,60523.22,32821.35,25539.36,12499.35,16202.26,86065.77,13116.25,46044.12,95028.23,9736.69,26436.04,64477.78,19110.46,47704.3,200213.06,58035.42,15002.61,13599.87,12379.5,68510,20027.2,26818.07,48957.36,30667.48,59834.57,48801.79,50887.96,67339.62,51426.44,52523.02,14905.76,23395.08,59727.18,25408.9,24713.73,74861.75,122812.45,97875.91,25331.33,90562.15,53472.85
,55,55,42,110.072372,6.683,0.860176,[M-H]-,,Histamine,Histamine,C5H9N3,0.137,0,110.072372,0,0,4026.69,2618982.25,3325465,3415957.25,3926983.25,4400617.5,4817558.5,1693970.88,3117936.25,3689418,2624941.5,6856873.5,3295124,3271400.25,5319534,4391238.5,5149726,4573260,3449256.75,5106962.5,3420018,5856140.5,6067362.5,2790825.25,2544765.75,4983999.5,6680405.5,5025798,4145319.25,3093798.75,4138858.75,5681.29,4825881.5,2840362.75,2756858.75,4119588.75,3874.95,5706181.5,2781076.75,2825247.25,10200520,3636.61,4307084.5,3638960,6982404,9933573
