label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,98,98,45,274.125458,7.708,0.85487,[M+H]+,,Feature 63,Feature 63,,0.004,1.44725,274.125458,1709.31,2662.89,2038.95,58087.61,63851.89,104830.48,87899.55,67250.5,802077.56,265420.5,576013.94,1004521.44,420155.09,267177.47,222084.14,433330.75,283754.34,194435.95,80199.95,100942.65,147607.39,266514.16,81254.77,239780.83,97201.5,142936.84,264660.97,90022.41,302647.97,89540.29,91010.47,211574.95,79817.69,101084.03,99852.26,50464.03,74063,60872.89,401728.72,192725.42,180369.33,559063.44,476815.41,145308.45,208561.17,144594.36,573323.56,154292.28
,93,93,45,279.1698,8.053,0.854219,[M+H]+,,Feature 64,Feature 64,,0.001,1.202469,279.1698,0,0,0,23551.37,69086.65,38811.83,57949.78,36273.32,123268.26,151465.73,96454.85,176140.69,377761,177917.92,248419.77,486456.75,113886.19,205823.08,62443.59,25194.3,92641.95,37493,29827.27,267965.47,184265.02,186140.55,59732.09,83307.62,256508.62,76005.94,199790.44,257560.17,143183.75,18838.06,41426.27,16776.99,35619.88,24395.28,169383.02,191352.8,50607.61,624381.81,296017.34,99224.96,303701.12,74898.5,1528370.88,512754.75
,119,119,21,280.176025,4.922,0.855044,[M+H]+,,Feature 65,Feature 65,,0.012,2.396297,280.176025,3831.6,1901.56,0,24310.35,8090.16,14367.1,11144.09,8712.13,252856.48,241245.62,53692.34,62386.33,451730.22,588828.19,141665.73,111889.91,61087.22,380073.59,13012.69,10339.08,12814.43,79734.27,57925.18,0,9473.87,8974.36,98694.05,8653.33,15115,4896.4,9089.5,89238.76,7497.72,9967.97,8203.54,15529.4,7168.56,38163.9,211738.86,239128.94,165445.31,183520.5,349977.97,180977.38,221201.5,209673.27,284111.16,543806.06
,120,120,26,281.160309,4.88,0.855079,[M+H]+,,Feature 66,Feature 66,,0.021,1.411038,281.160309,0,0,0,36232.92,7902.68,13839.47,7949.41,9261.45,269153.09,311489.5,78073.44,51878.99,523758.25,532035.31,165596.36,109775.53,47432.72,354009.38,23735.05,8368.94,0,131472.12,61775.32,0,8918.18,0,119534.41,14368.69,13740.02,0,0,100633.43,0,10393.72,20141.23,0,9098.07,117001.88,197631.08,270163.28,189934.89,210863.06,331090.22,199057.55,252150.7,262497.75,267820.34,508329.41
,94,94,46,288.083527,11.186,0.857736,[M+H]+,,Feature 67,Feature 67,,0.045,1.906792,288.083527,7957.44,12551.44,9374.85,136646.98,300033.25,132467.8,147075.97,83252.45,1295977,502893.78,1240578,1504194.5,351138.25,2370340.25,613816.62,1820227.5,1842598.88,538595.25,126115.66,70341.66,315202.75,185401.31,125998.44,278802.03,56543.79,196051.55,124179.69,139489.08,312860.78,64205.86,248014.3,165974.47,138617.92,33482.81,166284.89,43079.75,101582.62,80436.07,339258.41,1005499.69,661904.56,800904.5,1543429.62,228164.44,1531490,632444.69,1492524,895570.19
,95,95,40,289.12088,6.476,0.855383,[M+H]+,,Feature 68,Feature 68,,0.011,2.216608,289.12088,0,0,0,1146445.12,519949,255336.67,147876.12,438144.91,443930.53,246886.31,661511.06,171017.56,249775.2,240304.95,17191.5,188068.02,7404.4,9082.7,1080228.12,883904,679048,905113.19,875728.25,366149.41,481290.5,446258.84,262633.72,1459176.12,467296.12,720172.25,558011.81,791775.31,687284.19,636984.19,548003.38,324193.75,440851.88,737754.19,29889.22,132762.12,51760.05,462630.47,149244.23,10224.59,194440.83,101415.97,9685.1,21837.55
,96,96,44,289.186401,5.53,0.856293,[M+H]+,,Feature 69,Feature 69,,0.023,1.582934,289.186401,0,0,0,84893.69,185248.95,251468.42,465985.09,409894.91,595777.25,466488.34,741381.19,989343.25,636584.31,864370.44,479620.78,992160.56,1050297.25,718474.56,337927.25,335521.53,312816.62,723485.56,221841.62,49707.5,641544.62,402868.72,228905.7,225177.06,496730.84,221835.95,261631.2,330833.03,400316.47,176764.39,217074.08,329648.75,249279.58,265427.66,999046.94,870149,797474,463485.22,922396.19,383803.16,1135737.88,732117,1835256.38,1022026.75
,73,73,40,126.031494,10.19,0.857748,[M+H]+,,Feature 7,Feature 7,,0.03,4.237475,126.031494,1368.41,1099.01,8214.59,34693.19,212688.42,32045.19,53439,32459.8,383520.22,427888.12,384891.38,389070.34,578205.5,9602202,147727.73,3887236.75,630759.81,183959.05,31476.16,15973.59,94966.34,45032.88,58226.14,642821.5,20135.72,88909.55,104857.46,42939.62,85468.2,43943.71,28725.11,195535.95,22526.49,23315.4,25737.13,25733.82,17397.43,16214.97,973872.56,702562.94,429602.5,347221.91,3180847.25,384901.91,4330078,884736.44,5005418.5,2726353
,97,97,44,291.068787,6.487,0.855298,[M+H]+,,Feature 70,Feature 70,,0.002,1.992082,291.068787,0,0,0,16333557,22925800,24011334,26205990,22519648,3249446.75,1361330,5969634.5,11924827,2549901.25,1812451.38,0,149013.31,444324.25,258306.39,13907365,24037642,18541722,27140432,18153516,13896515,14696945,16176787,6511528,17097548,10156880,9815409,15785532,17368674,14683335,20459154,20179182,17735262,18576410,10817568,738165.31,2700345.25,445115.91,3901056,601692.25,211698.8,1878794.38,1943532.62,415421.47,121057.94
,121,121,23,292.156769,2.442,0.856585,[M+H]+,,Feature 71,Feature 71,,0.005,2.402486,292.156769,0,0,0,0,0,0,3349.84,3436.21,68515.88,9719.28,88749.37,75809.23,41737.76,935361,31519.11,429730.84,287081.03,376030.38,0,3602.7,0,4173.18,0,0,25938.95,12545.61,3916.73,4532.35,3835.36,0,40094.43,25353.79,6005.67,0,4635.32,0,3258.37,17717.63,155075.64,114151.81,52172.83,96858.13,139648.53,53045.93,166345.27,43635.5,367409.41,930295.06
