"Plot Title: #6 Mesocosm"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10344489, SEN S/N: 10344489, LBL: C)","Coupler Detached (LGR S/N: 10344489)","Coupler Attached (LGR S/N: 10344489)","Host Connected (LGR S/N: 10344489)","Stopped (LGR S/N: 10344489)","End Of File (LGR S/N: 10344489)"
94,07/10/19 02:15:00  PM,29.265,,,,,
95,07/10/19 02:30:00  PM,29.365,,,,,
96,07/10/19 02:45:00  PM,29.439,,,,,
97,07/10/19 03:00:00  PM,29.515,,,,,
98,07/10/19 03:15:00  PM,29.565,,,,,
99,07/10/19 03:30:00  PM,29.590,,,,,
100,07/10/19 03:45:00  PM,29.765,,,,,
101,07/10/19 04:00:00  PM,29.966,,,,,
102,07/10/19 04:15:00  PM,30.117,,,,,
103,07/10/19 04:30:00  PM,30.117,,,,,
104,07/10/19 04:45:00  PM,30.167,,,,,
105,07/10/19 05:00:00  PM,30.217,,,,,
106,07/10/19 05:15:00  PM,30.318,,,,,
107,07/10/19 05:30:00  PM,30.268,,,,,
108,07/10/19 05:45:00  PM,30.016,,,,,
109,07/10/19 06:00:00  PM,29.815,,,,,
110,07/10/19 06:15:00  PM,29.665,,,,,
111,07/10/19 06:30:00  PM,29.540,,,,,
112,07/10/19 06:45:00  PM,29.365,,,,,
113,07/10/19 07:00:00  PM,29.215,,,,,
114,07/10/19 07:15:00  PM,29.165,,,,,
115,07/10/19 07:30:00  PM,29.215,,,,,
116,07/10/19 07:45:00  PM,29.315,,,,,
117,07/10/19 08:00:00  PM,29.365,,,,,
118,07/10/19 08:15:00  PM,29.389,,,,,
119,07/10/19 08:30:00  PM,29.414,,,,,
120,07/10/19 08:45:00  PM,29.439,,,,,
121,07/10/19 09:00:00  PM,29.439,,,,,
122,07/10/19 09:15:00  PM,29.464,,,,,
123,07/10/19 09:30:00  PM,29.490,,,,,
124,07/10/19 09:45:00  PM,29.540,,,,,
125,07/10/19 10:00:00  PM,29.590,,,,,
126,07/10/19 10:15:00  PM,29.640,,,,,
127,07/10/19 10:30:00  PM,29.690,,,,,
128,07/10/19 10:45:00  PM,29.740,,,,,
129,07/10/19 11:00:00  PM,29.740,,,,,
130,07/10/19 11:15:00  PM,29.715,,,,,
131,07/10/19 11:30:00  PM,29.715,,,,,
132,07/10/19 11:45:00  PM,29.715,,,,,
133,07/11/19 12:00:00  AM,29.715,,,,,
134,07/11/19 12:15:00  AM,29.690,,,,,
135,07/11/19 12:30:00  AM,29.690,,,,,
136,07/11/19 12:45:00  AM,29.665,,,,,
137,07/11/19 01:00:00  AM,29.665,,,,,
138,07/11/19 01:15:00  AM,29.665,,,,,
139,07/11/19 01:30:00  AM,29.665,,,,,
140,07/11/19 01:45:00  AM,29.690,,,,,
141,07/11/19 02:00:00  AM,29.690,,,,,
142,07/11/19 02:15:00  AM,29.690,,,,,
143,07/11/19 02:30:00  AM,29.715,,,,,
144,07/11/19 02:45:00  AM,29.740,,,,,
145,07/11/19 03:00:00  AM,29.765,,,,,
146,07/11/19 03:15:00  AM,29.790,,,,,
147,07/11/19 03:30:00  AM,29.790,,,,,
148,07/11/19 03:45:00  AM,29.790,,,,,
149,07/11/19 04:00:00  AM,29.815,,,,,
150,07/11/19 04:15:00  AM,29.815,,,,,
151,07/11/19 04:30:00  AM,29.790,,,,,
152,07/11/19 04:45:00  AM,29.790,,,,,
153,07/11/19 05:00:00  AM,29.790,,,,,
154,07/11/19 05:15:00  AM,29.765,,,,,
155,07/11/19 05:30:00  AM,29.740,,,,,
156,07/11/19 05:45:00  AM,29.715,,,,,
157,07/11/19 06:00:00  AM,29.690,,,,,
158,07/11/19 06:15:00  AM,29.665,,,,,
159,07/11/19 06:30:00  AM,29.640,,,,,
160,07/11/19 06:45:00  AM,29.615,,,,,
161,07/11/19 07:00:00  AM,29.615,,,,,
162,07/11/19 07:15:00  AM,29.615,,,,,
163,07/11/19 07:30:00  AM,29.665,,,,,
164,07/11/19 07:45:00  AM,29.690,,,,,
165,07/11/19 08:00:00  AM,29.740,,,,,
166,07/11/19 08:15:00  AM,29.790,,,,,
167,07/11/19 08:30:00  AM,29.865,,,,,
168,07/11/19 08:45:00  AM,30.016,,,,,
169,07/11/19 09:00:00  AM,30.217,,,,,
170,07/11/19 09:15:00  AM,30.419,,,,,
171,07/11/19 09:30:00  AM,30.369,,,,,
172,07/11/19 09:45:00  AM,30.217,,,,,
173,07/11/19 10:00:00  AM,30.091,,,,,
174,07/11/19 10:15:00  AM,29.916,,,,,
175,07/11/19 10:30:00  AM,29.815,,,,,
176,07/11/19 10:45:00  AM,29.740,,,,,
177,07/11/19 11:00:00  AM,29.640,,,,,
178,07/11/19 11:15:00  AM,29.590,,,,,
179,07/11/19 11:30:00  AM,29.565,,,,,
180,07/11/19 11:45:00  AM,29.765,,,,,
181,07/11/19 12:00:00  PM,30.343,,,,,
182,07/11/19 12:15:00  PM,30.976,,,,,
