Name	clean.A10-KW10_S233_ALL.fastq.gz_quant	clean.A11-KW11_S236_ALL.fastq.gz_quant	clean.A12-KW12_S239_ALL.fastq.gz_quant	clean.A1-KW1_S197_ALL.fastq.gz_quant	clean.A2-KW2_S201_ALL.fastq.gz_quant	clean.A3-KW3_S205_ALL.fastq.gz_quant	clean.A4-KW4_S209_ALL.fastq.gz_quant	clean.A5-KW5_S213_ALL.fastq.gz_quant	clean.A6-KW6_S217_ALL.fastq.gz_quant	clean.A7-KW7_S221_ALL.fastq.gz_quant	clean.A8-KW8_S225_ALL.fastq.gz_quant	clean.A9-KW9_S229_ALL.fastq.gz_quant	clean.B10-KW22_S234_ALL.fastq.gz_quant	clean.B11-KW23_S237_ALL.fastq.gz_quant	clean.B12-KW24_S240_ALL.fastq.gz_quant	clean.B1-KW13_S198_ALL.fastq.gz_quant	clean.B2-KW14_S202_ALL.fastq.gz_quant	clean.B3-KW15_S206_ALL.fastq.gz_quant	clean.B4-KW16_S210_ALL.fastq.gz_quant	clean.B5-KW17_S214_ALL.fastq.gz_quant	clean.B6-KW18_S218_ALL.fastq.gz_quant	clean.B7-KW19_S222_ALL.fastq.gz_quant	clean.B8-KW20_S226_ALL.fastq.gz_quant	clean.B9-KW21_S230_ALL.fastq.gz_quant	clean.C10-KW34_S235_ALL.fastq.gz_quant	clean.C11-KW35_S238_ALL.fastq.gz_quant	clean.C12-KW36_S241_ALL.fastq.gz_quant	clean.C1-KW25_S199_ALL.fastq.gz_quant	clean.C2-KW26_S203_ALL.fastq.gz_quant	clean.C3-KW27_S207_ALL.fastq.gz_quant	clean.C4-KW28_S211_ALL.fastq.gz_quant	clean.C5-KW29_S215_ALL.fastq.gz_quant	clean.C6-KW30_S219_ALL.fastq.gz_quant	clean.C7-KW31_S223_ALL.fastq.gz_quant	clean.C8-KW32_S227_ALL.fastq.gz_quant	clean.C9-KW33_S231_ALL.fastq.gz_quant	clean.D1-KW37_S200_ALL.fastq.gz_quant	clean.D2-KW38_S204_ALL.fastq.gz_quant	clean.D3-KW39_S208_ALL.fastq.gz_quant	clean.D4-KW40_S212_ALL.fastq.gz_quant	clean.D5-KW41_S216_ALL.fastq.gz_quant	clean.D6-KW42_S220_ALL.fastq.gz_quant	clean.D7-KW43_S224_ALL.fastq.gz_quant	clean.D8-KW44_S228_ALL.fastq.gz_quant	clean.D9-KW45_S232_ALL.fastq.gz_quant
isotig21960	44.001	0	26	51	0	30.004	18.008	24	0	0	1	4.042	19.818	1	0	12	3	0	1	17	22	34.015	1	17.003	2	24.896	1	33.001	13.987	1	2	5	17	48.883	1	21	31	6.783	3	2	12.001	2	14.006	20.997	11
GCKDGN103GSYRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig16570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig16501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN101BUMT5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig18889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig14986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GCKDGN102DX1W5	4	0	0	2	6	1	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	5	2	0	1	3	4	0	0	0	2	0	0	0	1	0	0	0	4
isotig11043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
isotig28365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig00617	3.095	0	28.622	15.942	4.495	8.034	1	0	0	7	0	23.244	5	0	0	4	1	0	0	8	4	0	0	23	1.047	7.244	0	24.225	2	0	0	6.156	2	0	0	1.037	10.339	0	0	1	2	0	0	10.279	9.187
GCKDGN102D4RTW	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1
GCKDGN103G7JUZ	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN102EQFA7	28	32	44	41	9	7	17	15	27	0	0	0	1	0	0	15	3	2	0	47	5	12	0	5	0	12	27	16	7	16	2	32	13	30	13	7	21	11	7	0	7	0	15	13	19
isotig04498	232	251	142	162	125	58	199	128	190	80	14	71	39	33	38	95	26	36	12	251	455	270	1	30	22	69	64	219	35	16	36	142	73	182	169	87	175	108	23	65	108	3	143	93	121
isotig06426	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	1	0	1	0	0	0	0	0	2	2	1	0	1	0	4	0
GCKDGN102DIM9E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig10436	12	15	2	48	6	10	22	13	8	4	14	12	5	4	15	10	11	16	9	30	30	44	17	1	13	3	16	12	4	30	10	25	14	8	20	10	13	19	11	12	9	5	6	17	21
isotig04200	4	13	12	5	2	3	23	0	9	0	4	0	3	6	1	15	1	0	0	20	9	1	0	1	4	12	0	16	3	0	3	9	12	13	11	5	9	4	1	1	5	0	0	23	10
isotig16716	28	5	0	13	5	1	3	0	7	0	0	16	6	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	1	9	35	0	0	0	0	0	0	7	0	0	0	0
isotig13780	4	10	0	4	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	7	0
isotig09046	37	4	9	39	17	7	42	33	21	1	1	29	2	3	1	4	4	4	7	26	15	19	0	6	2	18	6	41	1	6	9	20	5	3	6	19	19	24	15	12	8	0	7	9	13
isotig08956	5	0	1	6	0	2	20	21	0	0	0	1	5	0	13	13	0	2	0	5	18	0	0	8	0	19	0	2	0	0	3	7	0	14	3	7	4	3	0	4	1	0	0	2	3
isotig18026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN103FUZKK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN103F9NNV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN103GGAT1	19	0	9	6	3	76	6	2	0	0	2	91	49	0	0	0	2	0	0	4	9	72	0	11	5	27	0	12	14	0	0	7	5	0	0	5	2	0	0	0	12	0	2	2	4
GCKDGN102DUH5Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig25055	2	0	18	17	3	22	10.002	1	0	0	0	2	2	0	0	4	0	0	0	6	0	0	0	1	0	0	0	4	7	0	0	5	8	12	0	6	0	2	0	0	7	0	22	4	0
isotig13673	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0
isotig09969	2	1	3	1	5	3	1	3	1	2	0	0	1	0	0	1	4	1	2	4	2	1	0	0	6	0	0	3	1	15	1	7	0	1	0	5	6	2	4	3	1	1	2	1	2
GCKDGN101CIBQ7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
isotig03425	7	1	1	3	0	0	5	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	2	3	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	0	2	1
isotig03657	388	62	149	223	75	58	95	13	54	33	2	0	35	11	45	39	7	6	23	364	188	87	2	12	20	74	7	90	9	16	13	14	136	41	15	45	60	95	19	29	20	23	33	98	247
isotig06891	3	10	3	2	2	7	3	9	4	2	2	0	7	0	1	0	1	3	0	13	4	7	0	2	9	5	0	9	2	3	2	4	4	3	2	2	6	10	7	6	2	0	1	2	6
isotig05658	17	2	0	11	5	11	9	0	0	0	0	8	1	0	0	0	1	0	3	19	6	9	0	0	2	6	0	6	1	2	0	0	3	30	15	6	5	5	1	12	5	0	0	17	14
isotig18349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
isotig26353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCKDGN102DTIEX	9	0	0	3	0	0	0	0	0	0	0	0	3	0	0	2	0	3	3	1	0	3	0	0	0	2	0	6	0	0	0	2	0	6	9	1	1	4	0	0	0	0	0	0	4
GE910306	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0
isotig17419	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
isotig02778	12	9	0	3	4	1	0	0	9	1	0	0	0	0	0	8	0	1	0	2	15	9	0	0	4	0	3	10	0	0	0	3	2	0	7	0	0	3	0	2	0	0	2	4	2
