"","gene","colors"
"384","Pastreoides22614","blue"
"385","Pastreoides17766","turquoise"
"386","Pastreoides23251","turquoise"
"387","Pastreoides23252","turquoise"
"388","Pastreoides23257","turquoise"
"389","Pastreoides10268","turquoise"
"390","Pastreoides10262","yellow"
"391","Pastreoides10263","brown"
"392","Pastreoides10260","yellow"
"393","Pastreoides10265","turquoise"
"394","Pastreoides55361","blue"
"395","Pastreoides27852","turquoise"
"396","Pastreoides11977","brown"
"397","Pastreoides11978","turquoise"
"398","Pastreoides27652","turquoise"
"399","Pastreoides54902","grey"
"400","Pastreoides15553","turquoise"
"401","Pastreoides15555","turquoise"
"402","Pastreoides23927","turquoise"
"403","Pastreoides08919","turquoise"
"404","Pastreoides57765","turquoise"
"405","Pastreoides09568","blue"
"406","Pastreoides56411","turquoise"
"407","Pastreoides56410","turquoise"
"408","Pastreoides14179","brown"
"409","Pastreoides08865","turquoise"
"410","Pastreoides08867","brown"
"411","Pastreoides16998","turquoise"
"412","Pastreoides16994","turquoise"
"413","Pastreoides16992","turquoise"
"414","Pastreoides18848","turquoise"
"415","Pastreoides55268","turquoise"
"416","Pastreoides18844","blue"
"417","Pastreoides18590","turquoise"
"418","Pastreoides14284","blue"
"419","Pastreoides11671","turquoise"
"420","Pastreoides11677","turquoise"
"421","Pastreoides11678","blue"
"422","Pastreoides19460","brown"
"423","Pastreoides46849","yellow"
"424","Pastreoides46845","turquoise"
"425","Pastreoides46846","brown"
"426","Pastreoides46843","turquoise"
"427","Pastreoides50921","yellow"
"428","Pastreoides50923","turquoise"
"429","Pastreoides17739","turquoise"
"430","Pastreoides18332","blue"
"431","Pastreoides53692","blue"
"432","Pastreoides53691","yellow"
"433","Pastreoides53696","yellow"
"434","Pastreoides53697","turquoise"
"435","Pastreoides13861","turquoise"
"436","Pastreoides03785","turquoise"
"437","Pastreoides37664","turquoise"
"438","Pastreoides03271","yellow"
"439","Pastreoides27964","turquoise"
"440","Pastreoides37662","turquoise"
"441","Pastreoides05306","brown"
"442","Pastreoides05300","blue"
"443","Pastreoides06570","brown"
"444","Pastreoides08089","turquoise"
"445","Pastreoides42437","blue"
"446","Pastreoides45725","turquoise"
"447","Pastreoides43527","turquoise"
"448","Pastreoides43521","turquoise"
"449","Pastreoides02658","turquoise"
"450","Pastreoides02650","brown"
"451","Pastreoides02653","blue"
"452","Pastreoides39781","blue"
"453","Pastreoides07224","blue"
"454","Pastreoides35658","grey"
"455","Pastreoides35659","grey"
"456","Pastreoides19044","turquoise"
"457","Pastreoides43389","turquoise"
"458","Pastreoides04552","brown"
"459","Pastreoides09353","grey"
"460","Pastreoides32398","turquoise"
"461","Pastreoides04611","turquoise"
"462","Pastreoides20819","grey"
"463","Pastreoides20814","grey"
"464","Pastreoides20815","grey"
"465","Pastreoides11418","blue"
"466","Pastreoides34523","turquoise"
"467","Pastreoides34522","turquoise"
"468","Pastreoides34527","grey"
"469","Pastreoides34526","turquoise"
"470","Pastreoides34529","turquoise"
"471","Pastreoides11419","blue"
"472","Pastreoides06374","turquoise"
"473","Pastreoides39013","turquoise"
"474","Pastreoides39016","turquoise"
"475","Pastreoides40120","turquoise"
"476","Pastreoides29631","turquoise"
"477","Pastreoides58075","blue"
"478","Pastreoides25576","blue"
"479","Pastreoides25577","turquoise"
"480","Pastreoides27594","turquoise"
"481","Pastreoides27593","blue"
"482","Pastreoides44926","turquoise"
"483","Pastreoides24485","turquoise"
"484","Pastreoides24486","blue"
"485","Pastreoides19893","blue"
"486","Pastreoides51523","turquoise"
"487","Pastreoides20064","blue"
"488","Pastreoides47361","turquoise"
"489","Pastreoides47360","turquoise"
"490","Pastreoides41052","grey"
"491","Pastreoides15502","turquoise"
"492","Pastreoides11471","turquoise"
"493","Pastreoides48127","turquoise"
"494","Pastreoides22334","blue"
"495","Pastreoides22336","yellow"
"496","Pastreoides22338","grey"
"497","Pastreoides33035","brown"
"498","Pastreoides08275","blue"
"499","Pastreoides13836","blue"
"500","Pastreoides49756","turquoise"
"501","Pastreoides49752","grey"
"502","Pastreoides15725","brown"
"503","Pastreoides56536","blue"
"504","Pastreoides16568","grey"
"505","Pastreoides48904","turquoise"
"506","Pastreoides13162","turquoise"
"507","Pastreoides28927","blue"
"508","Pastreoides56337","turquoise"
"509","Pastreoides09114","turquoise"
"510","Pastreoides09113","turquoise"
"511","Pastreoides28512","turquoise"
"512","Pastreoides51643","blue"
"513","Pastreoides51647","turquoise"
"514","Pastreoides53445","blue"
"515","Pastreoides36072","grey"
"516","Pastreoides17274","turquoise"
"517","Pastreoides06353","turquoise"
"518","Pastreoides64530","turquoise"
"519","Pastreoides50061","turquoise"
"520","Pastreoides58273","turquoise"
"521","Pastreoides58275","turquoise"
"522","Pastreoides14329","brown"
"523","Pastreoides14324","turquoise"
"524","Pastreoides14323","turquoise"
"525","Pastreoides14320","turquoise"
"526","Pastreoides35032","turquoise"
"527","Pastreoides35036","turquoise"
"528","Pastreoides35037","turquoise"
"529","Pastreoides35038","yellow"
"530","Pastreoides12533","grey"
"531","Pastreoides54765","turquoise"
"532","Pastreoides54768","blue"
"533","Pastreoides20933","turquoise"
"534","Pastreoides07406","brown"
"535","Pastreoides07408","turquoise"
"536","Pastreoides16040","turquoise"
"537","Pastreoides09968","turquoise"
"538","Pastreoides09967","turquoise"
"539","Pastreoides09966","turquoise"
"540","Pastreoides09965","turquoise"
"541","Pastreoides09963","turquoise"
"542","Pastreoides09962","blue"
"543","Pastreoides09961","blue"
"544","Pastreoides50682","turquoise"
"545","Pastreoides17675","turquoise"
"546","Pastreoides50688","turquoise"
"547","Pastreoides34343","brown"
"548","Pastreoides34341","turquoise"
"549","Pastreoides34344","turquoise"
"550","Pastreoides35234","turquoise"
"551","Pastreoides14655","grey"
"552","Pastreoides35231","blue"
"553","Pastreoides31838","turquoise"
"554","Pastreoides31833","blue"
"555","Pastreoides00172","turquoise"
"556","Pastreoides00170","blue"
"557","Pastreoides00176","brown"
"558","Pastreoides01809","turquoise"
"559","Pastreoides01800","turquoise"
"560","Pastreoides01805","turquoise"
"561","Pastreoides00848","turquoise"
"562","Pastreoides34989","turquoise"
"563","Pastreoides00846","grey"
"564","Pastreoides09302","blue"
"565","Pastreoides30876","turquoise"
"566","Pastreoides30873","brown"
"567","Pastreoides30872","turquoise"
"568","Pastreoides02448","turquoise"
"569","Pastreoides39931","turquoise"
"570","Pastreoides02443","turquoise"
"571","Pastreoides32583","turquoise"
"572","Pastreoides32581","blue"
"573","Pastreoides45612","blue"
"574","Pastreoides09307","turquoise"
"575","Pastreoides27490","blue"
"576","Pastreoides07644","grey"
"577","Pastreoides39201","turquoise"
"578","Pastreoides05496","turquoise"
"579","Pastreoides05495","turquoise"
"580","Pastreoides05498","turquoise"
"581","Pastreoides31051","grey"
"582","Pastreoides47547","yellow"
"583","Pastreoides02593","turquoise"
"584","Pastreoides27658","turquoise"
"585","Pastreoides29238","turquoise"
"586","Pastreoides29234","turquoise"
"587","Pastreoides61670","turquoise"
"588","Pastreoides61675","blue"
"589","Pastreoides61676","turquoise"
"590","Pastreoides13201","turquoise"
"591","Pastreoides13203","turquoise"
"592","Pastreoides22517","blue"
"593","Pastreoides22516","turquoise"
"594","Pastreoides56681","turquoise"
"595","Pastreoides47225","grey"
"596","Pastreoides56687","yellow"
"597","Pastreoides32805","turquoise"
"598","Pastreoides02293","turquoise"
"599","Pastreoides44705","grey"
"600","Pastreoides54702","turquoise"
"601","Pastreoides12156","blue"
"602","Pastreoides12154","brown"
"603","Pastreoides12155","turquoise"
"604","Pastreoides23776","blue"
"605","Pastreoides21723","brown"
"606","Pastreoides21726","turquoise"
"607","Pastreoides21892","turquoise"
"608","Pastreoides21895","turquoise"
"609","Pastreoides21896","turquoise"
"610","Pastreoides21898","yellow"
"611","Pastreoides48364","turquoise"
"612","Pastreoides18146","turquoise"
"613","Pastreoides18149","turquoise"
"614","Pastreoides16651","turquoise"
"615","Pastreoides34184","turquoise"
"616","Pastreoides57475","turquoise"
"617","Pastreoides07093","turquoise"
"618","Pastreoides17305","turquoise"
"619","Pastreoides17306","turquoise"
"620","Pastreoides17307","turquoise"
"621","Pastreoides17267","turquoise"
"622","Pastreoides08165","blue"
"623","Pastreoides08166","blue"
"624","Pastreoides21433","blue"
"625","Pastreoides17886","turquoise"
"626","Pastreoides17885","turquoise"
"627","Pastreoides05942","turquoise"
"628","Pastreoides16136","blue"
"629","Pastreoides37512","turquoise"
"630","Pastreoides06361","turquoise"
"631","Pastreoides43802","turquoise"
"632","Pastreoides43803","turquoise"
"633","Pastreoides43800","turquoise"
"634","Pastreoides43801","turquoise"
"635","Pastreoides43804","turquoise"
"636","Pastreoides05450","turquoise"
"637","Pastreoides06255","yellow"
"638","Pastreoides06256","turquoise"
"639","Pastreoides24118","turquoise"
"640","Pastreoides08957","brown"
"641","Pastreoides40573","turquoise"
"642","Pastreoides40572","turquoise"
"643","Pastreoides40577","turquoise"
"644","Pastreoides40575","turquoise"
"645","Pastreoides40574","turquoise"
"646","Pastreoides46078","turquoise"
"647","Pastreoides31115","turquoise"
"648","Pastreoides31111","grey"
"649","Pastreoides31113","grey"
"650","Pastreoides14510","grey"
"651","Pastreoides14513","blue"
"652","Pastreoides14514","blue"
"653","Pastreoides53761","turquoise"
"654","Pastreoides56703","turquoise"
"655","Pastreoides41456","turquoise"
"656","Pastreoides40669","turquoise"
"657","Pastreoides40668","turquoise"
"658","Pastreoides04490","turquoise"
"659","Pastreoides03612","turquoise"
"660","Pastreoides03618","turquoise"
"661","Pastreoides47135","blue"
"662","Pastreoides54935","turquoise"
"663","Pastreoides44449","turquoise"
"664","Pastreoides43497","grey"
"665","Pastreoides30939","turquoise"
"666","Pastreoides43145","blue"
"667","Pastreoides43142","turquoise"
"668","Pastreoides01618","turquoise"
"669","Pastreoides45799","blue"
"670","Pastreoides45791","blue"
"671","Pastreoides52441","blue"
"672","Pastreoides32262","blue"
"673","Pastreoides48772","turquoise"
"674","Pastreoides61587","blue"
"675","Pastreoides08312","turquoise"
"676","Pastreoides60891","turquoise"
"677","Pastreoides26485","brown"
"678","Pastreoides50655","turquoise"
"679","Pastreoides07323","blue"
"680","Pastreoides21148","turquoise"
"681","Pastreoides21142","turquoise"
"682","Pastreoides57457","turquoise"
"683","Pastreoides57452","blue"
"684","Pastreoides29376","turquoise"
"685","Pastreoides29377","brown"
"686","Pastreoides10968","turquoise"
"687","Pastreoides10967","turquoise"
"688","Pastreoides10960","blue"
"689","Pastreoides36822","turquoise"
"690","Pastreoides22498","brown"
"691","Pastreoides22722","brown"
