# Constructed from biom file
#OTU ID	WSH129	WSH130	WSH131	WSH132	WSH133	WSH134	WSH135	WSH136	WSH137	WSH138	WSH139	WSH140	WSH141	WSH142	WSH143	WSH144	WSH145	WSH146	WSH147	WSH148	WSH149	WSH150	WSH151	WSH152	WSH153	WSH154	WSH155	WSH156	WSH157	WSH158	WSH159	WSH160	WSH161	WSH162	WSH163	WSH164	WSH165	WSH166	WSH167	WSH168	WSH169	WSH170	WSH171	WSH172	WSH173
cc88960fdaa609f86cc9c17736ef13d7	15.0	97.0	0.0	531.0	4.0	0.0	423.0	89.0	0.0	448.0	0.0	0.0	0.0	0.0	115.0	33.0	99.0	13.0	0.0	41.0	83.0	0.0	125.0	3.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	53.0	446.0	114.0	12.0	41.0	9.0	0.0	0.0	19.0	37.0	25.0	198.0	17.0	8.0
e273656ee828ec879a2d5eabb585c994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	2884.0	23.0	22.0	0.0
e7f7b000db451d58ff46d476d344880c	0.0	0.0	0.0	48.0	0.0	0.0	160.0	57.0	0.0	430.0	380.0	0.0	144.0	0.0	0.0	0.0	46.0	138.0	0.0	288.0	71.0	46.0	386.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0	89.0	0.0	40.0	38.0	111.0	30.0	0.0	0.0	0.0	85.0	0.0	103.0	0.0	0.0
9c9da2cf3d0757c65746fa32adc79c24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2904.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c5c5761e099bfd6d5d55d4346ae79b7b	0.0	329.0	0.0	934.0	46.0	0.0	220.0	63.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	294.0	344.0	0.0	106.0	15.0	0.0	80.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	25.0	86.0	145.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
10ad71108c82d9f369e4567cb2738cec	33.0	175.0	75.0	28.0	156.0	140.0	0.0	53.0	160.0	60.0	135.0	0.0	22.0	0.0	0.0	47.0	33.0	0.0	45.0	122.0	20.0	375.0	0.0	0.0	0.0	62.0	0.0	76.0	0.0	40.0	33.0	0.0	0.0	17.0	0.0	0.0	30.0	108.0	93.0	0.0	216.0	0.0	7.0	79.0	41.0
a8deff5eb3ca808b4f9b235c408aba15	0.0	12.0	0.0	683.0	0.0	0.0	667.0	224.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	90.0	0.0	128.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	87.0	99.0	32.0	9.0	51.0	0.0	0.0	0.0	0.0	11.0	0.0	67.0	0.0	0.0
281389b7e64bbfed0a231ef25d782918	8.0	0.0	104.0	570.0	18.0	7.0	50.0	23.0	288.0	17.0	0.0	7.0	74.0	0.0	19.0	0.0	14.0	0.0	0.0	8.0	0.0	236.0	19.0	0.0	0.0	0.0	0.0	11.0	2.0	0.0	0.0	56.0	585.0	0.0	0.0	240.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	33.0
90ffbb800442098ab12586472c25caf7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8ec12c627a4138342bea47a4278457f0	779.0	31.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	400.0	38.0	541.0	0.0	184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0
