"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"26","Feature 133",3.30248794134358,13.6165988234961,10.3141108821525,8.82684741283911,0.000176343262808944,5.56946913483395,2.36956580908801,4.23541007359916,"Welch Two Sample t-test","two.sided",0.000920903705780039,"Control","Unknown"
"27","Feature 134",4.28342867232722,16.5773539115067,12.2939252391795,6.45470947361164,0.000583377282234952,6.17621376311616,2.67079069661686,5.89606664803758,"Welch Two Sample t-test","two.sided",0.0020062487023202,"Control","Unknown"
"28","Feature 137",3.22820744614241,13.3828694781243,10.1546620319819,12.8124065031894,1.38324563052343e-05,6.00305590544232,2.61176084590249,3.84465404638232,"Welch Two Sample t-test","two.sided",0.000215408597243705,"Control","Unknown"
"29","Feature 138",3.24761968477191,13.2511164484149,10.003496763643,23.242873270355,5.7284068133159e-06,4.62472047586108,2.87949814154214,3.61574122800168,"Welch Two Sample t-test","two.sided",0.000140836062772432,"Control","Unknown"
"30","Feature 139",3.98982969439237,13.9933264580354,10.003496763643,18.5223827241935,3.15031837955663e-05,4.25271514961999,3.40552585127914,4.5741335375056,"Welch Two Sample t-test","two.sided",0.000332761187424414,"Control","Unknown"
"31","Feature 140",2.22489346420277,12.4504442295781,10.2255507653754,9.33667554867238,1.52772054782769e-05,7.90712978897703,1.6742561993973,2.77553072900823,"Welch Two Sample t-test","two.sided",0.000215408597243705,"Control","Unknown"
"32","Feature 141",2.71359630272304,13.2050762228545,10.4914799201315,8.02210305528924,4.28297385232072e-05,7.99932593920796,1.93354448393907,3.49364812150701,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Control","Unknown"
"33","Feature 18",2.96522546256658,21.7960258258277,18.8308003632611,6.76533820692776,0.00141086562149265,4.65944379259128,1.81332307157653,4.11712785355663,"Welch Two Sample t-test","two.sided",0.00312556755646261,"Control","Unknown"
"34","Feature 19",2.96522546256658,21.7960258258277,18.8308003632611,6.76533820692776,0.00141086562149265,4.65944379259128,1.81332307157653,4.11712785355663,"Welch Two Sample t-test","two.sided",0.00312556755646261,"Control","Unknown"
"35","Feature 29",2.45376943700854,20.3429660117495,17.889196574741,5.30323001808035,0.00444602156870794,4.46319674264999,1.22003600153347,3.68750287248361,"Welch Two Sample t-test","two.sided",0.00659883201250337,"Control","Unknown"
"36","Feature 34",1.53969344089172,15.6642147900928,14.124521349201,3.53776162291014,0.0136399696422826,5.62520199901944,0.457317704999811,2.62206917678363,"Welch Two Sample t-test","two.sided",0.0155099654803375,"Control","Unknown"
"37","Feature 39",2.37014823368466,20.1551697871987,17.7850215535141,4.16963510586277,0.00949003212227058,4.81268724492413,0.891678593278899,3.84861787409042,"Welch Two Sample t-test","two.sided",0.0117542834038189,"Control","Unknown"
"38","Feature 5",2.52634883611214,15.3012458703339,12.7748970342218,5.51129039887419,0.00225822377465235,5.28554794370887,1.36689876308583,3.68579890913845,"Welch Two Sample t-test","two.sided",0.00428417450524329,"Control","Unknown"
"39","Feature 51",2.72986337270154,14.0725994013118,11.3427360286102,10.6383036639161,5.08218506318966e-05,5.79733454764708,2.09660925803664,3.36311748736644,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Control","Unknown"
"40","Feature 52",2.45286957660958,17.37867331513,14.9258037385204,4.47249383069768,0.00476123398689273,5.71346249941622,1.09441473196964,3.81132442124952,"Welch Two Sample t-test","two.sided",0.0069930624182487,"Control","Unknown"
"41","Feature 55",1.47406086135836,13.3720548539298,11.8979939925714,3.2488309626886,0.0126358083752291,7.57082105137725,0.417365202620869,2.53075652009585,"Welch Two Sample t-test","two.sided",0.0147243717430355,"Control","Unknown"
"42","Feature 56",4.00704866558467,14.0229955164078,10.0159468508231,26.2318776876355,5.99302394776306e-06,4.34148771005109,3.59577088084139,4.41832645032794,"Welch Two Sample t-test","two.sided",0.000140836062772432,"Control","Unknown"
"43","Feature 60",3.6970411668277,14.7115539304036,11.0145127635759,8.42956965987732,3.52459847538514e-05,7.78255123271656,2.68073384395478,4.71334848970062,"Welch Two Sample t-test","two.sided",0.000332761187424414,"Control","Unknown"
"44","Feature 68",3.10987114828854,14.5138401080429,11.4039689597544,5.55679115344828,0.00261524871286876,4.9878684600023,1.67018594645179,4.54955635012529,"Welch Two Sample t-test","two.sided",0.00466772238625943,"Control","Unknown"
"45","Feature 70",4.44936206216602,18.8326448354671,14.3832827733011,5.7688511473463,0.00322558366858752,4.4435501760316,2.38968527717528,6.50903884715676,"Welch Two Sample t-test","two.sided",0.00528845694500978,"Control","Unknown"
"46","Feature 72",1.7447199978374,16.1755093099437,14.4307893121063,3.10955687630193,0.0291036174516438,4.67127626971114,0.271340464722685,3.21809953095211,"Welch Two Sample t-test","two.sided",0.0303971115606058,"Control","Unknown"
"47","Feature 74",1.60191619222182,15.0279647742589,13.4260485820371,2.75304703685303,0.0359253421074451,5.55474748767757,0.150003382242773,3.05382900220087,"Welch Two Sample t-test","two.sided",0.0364422535046745,"Control","Unknown"
"48","Feature 76",1.99449660832482,18.2055367570224,16.2110401486976,5.14939081717308,0.00224499398889766,5.88291656032313,1.04215114436227,2.94684207228737,"Welch Two Sample t-test","two.sided",0.00428417450524329,"Control","Unknown"
"49","Feature 77",3.15758962463588,14.9556948930849,11.7981052684491,6.2285844311821,0.00154196096881308,5.0167547671274,1.85573752176133,4.45944172751043,"Welch Two Sample t-test","two.sided",0.00329418934246431,"Control","Unknown"
"50","Feature 79",2.32355133098092,15.5550337923243,13.2314824613434,3.91708957899889,0.00541626605207535,7.22831372669479,0.929827696741134,3.71727496522071,"Welch Two Sample t-test","two.sided",0.00758822451711857,"Control","Unknown"
"51","Feature 83",4.90549300849714,16.4140677285327,11.5085747200356,5.59274063030724,0.00340441982064861,4.54499147936916,2.5811756927061,7.22981032428819,"Welch Two Sample t-test","two.sided",0.00545480903081197,"Control","Unknown"
"52","Feature 85",1.88232668605482,16.6337760284021,14.7514493423473,5.17291226159628,0.00295137938006967,5.32489439626404,0.963847749931667,2.80080562217797,"Welch Two Sample t-test","two.sided",0.00513758632826943,"Control","Unknown"
"53","Feature 86",3.0961864977545,14.0969145234786,11.0007280257241,6.21451640476728,0.000641922356113683,6.35609800014036,1.89345607818255,4.29891691732645,"Welch Two Sample t-test","two.sided",0.00210490819097743,"Control","Unknown"
"54","Feature 88",1.8533848700942,14.0296468041707,12.1762619340765,3.86527174807529,0.00499729627691514,7.81045584875554,0.742975386718435,2.96379435346996,"Welch Two Sample t-test","two.sided",0.00718998750045954,"Control","Unknown"
"55","Feature 90",4.33549250563857,14.4195371368701,10.0840446312315,12.0913939240784,0.000155106206101926,4.38980803244717,3.37388271561937,5.29710229565777,"Welch Two Sample t-test","two.sided",0.000841152886937368,"Control","Unknown"
"56","Feature 91",4.31567922912367,14.6053162876679,10.2896370585442,16.3855037690088,5.06184770934662e-07,7.29793449569413,3.69799244019619,4.93336601805114,"Welch Two Sample t-test","two.sided",7.13720527017874e-05,"Control","Unknown"
"57","Feature 92",2.7761627504239,13.5798006717356,10.8036379213117,5.61176577104685,0.000624034976024111,7.5298586744916,1.62285554143195,3.92946995941586,"Welch Two Sample t-test","two.sided",0.00209497456236666,"Control","Unknown"
"58","Feature 93",1.75737517632282,13.7450376459051,11.9876624695823,4.45661870790382,0.00628402439127126,5.12420471395315,0.751065186336081,2.76368516630956,"Welch Two Sample t-test","two.sided",0.00835893810537025,"Control","Unknown"
"59","Feature 94",2.48032912659529,12.7210670295083,10.240737902913,6.13827395625187,0.00100399192799333,5.74864181552607,1.4810159914705,3.47964226172008,"Welch Two Sample t-test","two.sided",0.00271906606399705,"Control","Unknown"
"60","Feature 95",2.80301580983986,13.6642864472752,10.8612706374353,6.48202335056326,0.000198519331016184,7.93616152320619,1.80443446601144,3.80159715366828,"Welch Two Sample t-test","two.sided",0.000965214678389035,"Control","Unknown"
"61","Feature 96",2.48724678831231,12.8426996490954,10.3554528607831,8.20987634102289,4.48625832346593e-05,7.70918321659766,1.78401061164675,3.19048296497786,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Control","Unknown"
"62","Homocysteine",1.71790983668302,12.872543124819,11.154633288136,3.60189441090359,0.00816104878511131,7.27833254810828,0.598795589328359,2.83702408403768,"Welch Two Sample t-test","two.sided",0.0102741774883991,"Control","Identified"
"63","N-acetyl-glutamine",1.07990645793312,11.3566514067738,10.2767449488407,6.08250574453994,0.00112296295783901,5.64656193808055,0.638796841471912,1.52101607439432,"Welch Two Sample t-test","two.sided",0.00293218105657963,"Control","Identified"
"64","Nicotinamide riboside",1.47406086135836,13.3720548539298,11.8979939925714,3.2488309626886,0.0126358083752291,7.57082105137725,0.417365202620869,2.53075652009585,"Welch Two Sample t-test","two.sided",0.0147243717430355,"Control","Identified"
"65","o-acetyl-L-serine",1.8523635106782,15.4040831458315,13.5517196351533,4.56470672993761,0.00278730702322085,6.80207964159685,0.887107010658873,2.81762001069753,"Welch Two Sample t-test","two.sided",0.00491262862842675,"Control","Identified"
"66","2-Aminoethylphosphonate",-4.43329052912112,11.673839122821,16.1071296519421,-5.78681273675043,0.000843966701550883,6.57268034196174,-6.2689857456315,-2.59759531261075,"Welch Two Sample t-test","two.sided",0.00242855724323826,"Partial Mortality","Identified"
"67","4-Guanidinobutanoic acid",-4.02831787575388,13.5604650943787,17.5887829701326,-5.54135095211971,0.00247352447572967,5.09627847070695,-5.88644888075003,-2.17018687075773,"Welch Two Sample t-test","two.sided",0.0045294409230894,"Partial Mortality","Identified"
"68","Acetyl proline",-1.1731222152599,10.1824166252171,11.355538840477,-3.95111991167143,0.0130873212407288,4.54567917405868,-1.95987505044788,-0.386369380071925,"Welch Two Sample t-test","two.sided",0.015117958612706,"Partial Mortality","Identified"
"69","Alanine",-0.832410668493321,14.1873159440128,15.0197266125061,-6.71615336417312,0.00178188428923818,4.41622448292571,-1.1641066128329,-0.500714724153738,"Welch Two Sample t-test","two.sided",0.00364124180844324,"Partial Mortality","Identified"
"70","Aminoadipic acid",-0.6351897419602,10.632183378444,11.2673731204042,-3.20152717290962,0.0139766787101657,7.39039501539783,-1.09935876222429,-0.171020721696109,"Welch Two Sample t-test","two.sided",0.0157656935850669,"Partial Mortality","Identified"
