"","X","Fragment.ID","Temp.Cat","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint"
"24",24,"R30","Hot",0.66159726658198,-0.795023076083838,1.45662034266582,"T1"
"25",25,"R31","Hot",0.163623639007832,-0.93797903721229,1.10160267622012,"T1"
"26",26,"R32","Ambient",0.0398541228237605,-0.692044385856385,0.731898508680145,"T1"
"27",27,"R33","Ambient",0.38496078604777,-0.713384214887421,1.09834500093519,"T1"
"28",28,"R34","Ambient",0.155268621156786,-0.821131531772272,0.976400152929058,"T1"
"29",29,"R35","Hot",0.0296719298720283,-0.81420222733402,0.843874157206048,"T1"
"30",30,"R36","Hot",0.0849942312017064,-0.573208417415439,0.658202648617146,"T1"
"31",31,"R37","Hot",0.250899230871371,-0.86624371774898,1.11714294862035,"T1"
"32",32,"R38","Hot",0.223360167124013,-0.672776851264381,0.896137018388394,"T1"
"33",33,"R39","Ambient",0.304968545834157,-0.65408737447963,0.959055920313787,"T1"
"34",34,"R4","Hot",0.491517926020666,-0.50359166639335,0.995109592414016,"T1"
"35",35,"R40","Ambient",0.228090259655081,-0.732118048729439,0.96020830838452,"T1"
"36",36,"R5","Ambient",0.159560998517288,-0.454248566563187,0.613809565080475,"T1"
"37",37,"R6","Ambient",0.00656726466268808,-0.504713525975923,0.511280790638611,"T1"
"38",38,"R7","Ambient",0.157381753493615,-0.688793052362879,0.846174805856494,"T1"
"39",39,"R8","Hot",0.267555333297523,-0.49565373998718,0.763209073284703,"T1"
"40",40,"R9","Hot",0.181272577606888,-0.788363442487252,0.96963602009414,"T1"
"41",1,"R1","Ambient",0.0105622057969577,-0.432244083485064,0.442806289282022,"T2"
"42",2,"R10","Ambient",0.482456707682778,-0.591870386716008,1.07432709439879,"T2"
"43",3,"R11","Hot",-0.655480555025618,-0.597561472271147,-0.0579190827544704,"T2"
"44",4,"R12","Hot",-0.414805328654206,-0.557343590375249,0.142538261721043,"T2"
"45",5,"R13","Ambient",0.436659567429945,-0.612476217703334,1.04913578513328,"T2"
"46",6,"R14","Ambient",0.586709380781235,-0.699115178059267,1.2858245588405,"T2"
"47",7,"R15","Ambient",0.310734641669397,-0.561538869423792,0.872273511093188,"T2"
"48",8,"R16","Ambient",0.339972605989933,-0.886695422563325,1.22666802855326,"T2"
"49",9,"R17","Ambient",0.426288545263761,-0.515993610880678,0.942282156144439,"T2"
"50",10,"R18","Ambient",0.468309354190134,-0.402786148587417,0.871095502777551,"T2"
"51",11,"R19","Hot",-0.450471010489215,-0.678104888103834,0.227633877614619,"T2"
"52",12,"R2","Ambient",-0.0633011150545409,-0.537752479505929,0.474451364451388,"T2"
"53",13,"R20","Hot",-0.917022554345574,-0.583845228975678,-0.333177325369896,"T2"
"54",14,"R21","Hot",-0.564441446597753,-0.661902379922094,0.0974609333243407,"T2"
"55",15,"R22","Ambient",0.810869502430828,-0.375148442745978,1.18601794517681,"T2"
"56",16,"R23","Ambient",0.240623022378599,-0.480103491403539,0.720726513782137,"T2"
"57",17,"R24","Hot",-0.577890009875345,-0.695588600014191,0.117698590138846,"T2"
"58",18,"R25","Ambient",0.13770050142357,-0.465510750246504,0.603211251670074,"T2"
"59",19,"R26","Hot",-0.617486822873817,-0.480225244308999,-0.137261578564817,"T2"
"60",20,"R27","Hot",-0.441386096348736,-0.48431233510456,0.0429262387558231,"T2"
"61",21,"R28","Hot",-0.457540366878911,-0.676430934493497,0.218890567614586,"T2"
"62",22,"R29","Hot",-0.346307813687927,-0.795594534369356,0.449286720681429,"T2"
"63",23,"R3","Hot",-0.193539144380234,-0.459815548866597,0.266276404486363,"T2"
"64",24,"R30","Hot",-0.566357516423785,-0.57976507891538,0.0134075624915952,"T2"
"65",25,"R31","Hot",-0.52024410743305,-0.905297090149075,0.385052982716024,"T2"
"66",26,"R32","Ambient",0.258201061699259,-0.506391030534903,0.764592092234162,"T2"
"67",27,"R33","Ambient",0.876377962875834,-0.743295272674744,1.61967323555058,"T2"
"68",28,"R34","Ambient",0.236245344719452,-0.55296136161849,0.789206706337943,"T2"
"69",29,"R35","Hot",-0.473758748560723,-0.691118432828288,0.217359684267565,"T2"
"70",30,"R36","Hot",-0.666094408358873,-0.417722291794312,-0.248372116564561,"T2"
"71",31,"R37","Hot",-0.690280845151119,-0.534330542356814,-0.155950302794305,"T2"
"72",32,"R38","Hot",-0.245720225786537,-0.383000037792923,0.137279812006385,"T2"
"73",33,"R39","Ambient",0.599402728305254,-0.49664884477177,1.09605157307702,"T2"
"74",34,"R4","Hot",-0.613675626156177,-0.675336423624372,0.0616607974681953,"T2"
"75",35,"R40","Ambient",0.454138351558912,-0.615525794415922,1.06966414597483,"T2"
"76",36,"R5","Ambient",0.215685235958722,-0.526876204088501,0.742561440047223,"T2"
"77",37,"R6","Ambient",0.338740622948079,-0.351871319133329,0.690611942081407,"T2"
"78",38,"R7","Ambient",0.286810484778746,-0.46004243970007,0.746852924478816,"T2"
"79",39,"R8","Hot",-0.476314607031186,-0.731871055668289,0.255556448637103,"T2"
"80",40,"R9","Hot",-0.62439680577518,-0.893071029820439,0.268674224045259,"T2"
"81",1,"R1","Ambient",0.306498764475258,-0.420928864958578,0.727427629433836,"T3"
"82",2,"R10","Ambient",0.533899234179573,-0.586575214900565,1.12047444908014,"T3"
"83",3,"R11","Hot",-0.362459195564437,-0.365785723744425,0.00332652817998813,"T3"
"84",4,"R12","Hot",-0.389550528646147,-0.41265720251909,0.0231066738729437,"T3"
"85",5,"R13","Ambient",0.0985259449859707,-0.520090227843764,0.618616172829735,"T3"
"86",6,"R14","Ambient",0.514268351535136,-0.485872573611416,1.00014092514655,"T3"
"87",7,"R15","Ambient",0.305278459587023,-0.60359181312221,0.908870272709233,"T3"
"88",8,"R16","Ambient",0.302724646391111,-0.589941499874152,0.892666146265263,"T3"
"89",9,"R17","Ambient",0.710850188949669,-0.618316551950694,1.32916674090036,"T3"
"90",10,"R18","Ambient",0.109908962578311,-0.48524114362382,0.595150106202131,"T3"
"91",11,"R19","Hot",-0.118482645777323,-0.259679783730502,0.141197137953179,"T3"
"92",12,"R2","Ambient",-0.613960344146628,-0.0973720971756319,-0.516588246970996,"T3"
"93",13,"R20","Hot",-0.161168333606624,-0.279640299212412,0.118471965605787,"T3"
"94",14,"R21","Hot",-0.561801074396451,-0.610365533663184,0.0485644592667329,"T3"
"95",15,"R22","Ambient",0.763015077667613,-0.439612279563075,1.20262735723069,"T3"
"96",16,"R23","Ambient",0.234861575543515,-0.618939035225753,0.853800610769268,"T3"
"97",17,"R24","Hot",-0.260205896765899,-0.306537268048477,0.0463313712825781,"T3"
"98",18,"R25","Ambient",-0.0101951669006009,-0.468612478838002,0.458417311937401,"T3"
"99",19,"R26","Hot",-0.328214684268609,-0.454917824000489,0.12670313973188,"T3"
"100",20,"R27","Hot",-0.155256870429868,-0.366388188563925,0.211131318134057,"T3"
"101",21,"R28","Hot",-0.190761041998283,-0.351249767429743,0.16048872543146,"T3"
"102",22,"R29","Hot",-0.184252321060692,-0.298595729499284,0.114343408438592,"T3"
"103",23,"R3","Hot",-0.461064515180054,-0.585338998600498,0.124274483420444,"T3"
"104",24,"R30","Hot",-0.0570673198944763,-0.381559638041841,0.324492318147365,"T3"
"105",25,"R31","Hot",-0.751248638349763,-0.626831186282081,-0.124417452067682,"T3"
"106",26,"R32","Ambient",0.199915052571803,-0.373477716967055,0.573392769538858,"T3"
"107",27,"R33","Ambient",0.167947917643134,-0.523469312146786,0.69141722978992,"T3"
"108",28,"R34","Ambient",0.175173617333471,-0.879641141695453,1.05481475902892,"T3"
"109",29,"R35","Hot",-0.171483845722897,-0.405004161114571,0.233520315391673,"T3"
"110",30,"R36","Hot",-0.446035379641305,-0.430377221013546,-0.0156581586277594,"T3"
"111",31,"R37","Hot",-0.345535085293069,-0.45165291876383,0.106117833470762,"T3"
"112",32,"R38","Hot",-0.48745748788526,-0.425045897164548,-0.0624115907207128,"T3"
"113",33,"R39","Ambient",-0.294343750068949,-0.695498797916536,0.401155047847587,"T3"
"114",34,"R4","Hot",-0.395850460492042,-0.550842787998805,0.154992327506763,"T3"
"115",35,"R40","Ambient",0.307722742490399,-0.390991882383731,0.698714624874129,"T3"
"116",36,"R5","Ambient",0.21057882743057,-0.616487635868088,0.827066463298658,"T3"
"117",37,"R6","Ambient",0.331530593128229,-0.578778781412866,0.910309374541095,"T3"
"118",38,"R7","Ambient",0.738801590983175,-0.544808290019197,1.28360988100237,"T3"
"119",39,"R8","Hot",-0.442058320379591,-0.544487504807649,0.102429184428058,"T3"
"120",1,"R1","Ambient",0.497675749770337,-0.462285274905755,0.959961024676092,"T4"
"121",2,"R10","Ambient",0.115662242549017,-0.503350983029645,0.619013225578662,"T4"
"122",3,"R11","Hot",-0.345971468481097,-0.469304769627432,0.123333301146335,"T4"
"123",4,"R12","Hot",-0.461339543936874,-0.533888728209821,0.072549184272947,"T4"
"124",5,"R13","Ambient",0.0780071106791877,-0.57799099501289,0.655998105692078,"T4"
"125",6,"R14","Ambient",0.168543112988168,-0.365026640964461,0.533569753952629,"T4"
"126",7,"R15","Ambient",0.306528331785573,-0.447187048432557,0.75371538021813,"T4"
"127",8,"R16","Ambient",0.392044948763864,-0.696016199305126,1.08806114806899,"T4"
"128",9,"R17","Ambient",0.356367078063777,-0.541139559216964,0.897506637280741,"T4"
"129",10,"R18","Ambient",0.0908485682960414,-0.488238809942354,0.579087378238395,"T4"
"130",11,"R19","Hot",-0.500765605200667,-0.649350257657612,0.148584652456945,"T4"
"131",12,"R2","Ambient",0.0807596827438213,-0.358537833597541,0.439297516341362,"T4"
"132",13,"R20","Hot",-0.153222454934218,-0.233241074521184,0.080018619586966,"T4"
"133",14,"R21","Hot",-0.36422367810832,-0.530657731147435,0.166434053039115,"T4"
"134",15,"R22","Ambient",0.202334424231658,-0.431801791942539,0.634136216174197,"T4"
"135",16,"R23","Ambient",0.0776558296785962,-0.460772619502494,0.53842844918109,"T4"
"136",17,"R24","Hot",-0.24788868954879,-0.410097528364241,0.162208838815451,"T4"
"137",18,"R25","Ambient",-0.133673398728546,-0.689857052627525,0.556183653898979,"T4"
"138",19,"R26","Hot",-0.0240615156115753,-0.371864307340061,0.347802791728486,"T4"
"139",20,"R27","Hot",-0.146837219326273,-0.295170484042747,0.148333264716474,"T4"
"140",21,"R28","Hot",-0.528677653779608,-0.637750823078134,0.109073169298526,"T4"
"141",22,"R29","Hot",-0.415972014939715,-0.532797344996539,0.116825330056824,"T4"
"142",23,"R3","Hot",-0.0553487663191426,-0.407587371522959,0.352238605203816,"T4"
"143",24,"R31","Hot",-0.293566965972734,-0.674601659598404,0.38103469362567,"T4"
"144",25,"R32","Ambient",0.0629374013462069,-0.361671339205401,0.424608740551608,"T4"
"145",26,"R33","Ambient",0.48013118022717,-0.0864201187172222,0.566551298944392,"T4"
"146",27,"R34","Ambient",0.200888238372555,-0.546998789480172,0.747887027852727,"T4"
"147",28,"R35","Hot",-0.0661361975284611,-0.369591829082487,0.303455631554026,"T4"
"148",29,"R36","Hot",-0.150957496276015,-0.305007234416671,0.154049738140656,"T4"
"149",30,"R37","Hot",-0.325458597477504,-0.476565956320759,0.151107358843255,"T4"
"150",31,"R38","Hot",-0.221725802888989,-0.417235494351504,0.195509691462515,"T4"
"151",32,"R39","Ambient",0.476401750225533,-0.417819851894916,0.894221602120449,"T4"
"152",33,"R40","Ambient",0.110688450099158,-0.405829488252968,0.516517938352126,"T4"
"153",34,"R5","Ambient",0.10517152147344,-0.494600206558269,0.599771728031709,"T4"
"154",35,"R6","Ambient",0.0754610168265704,-0.427381121508359,0.502842138334929,"T4"
"155",36,"R7","Ambient",0.171806114137398,-0.647612279963968,0.819418394101366,"T4"
"156",37,"R8","Hot",-0.218939368209356,-0.380415801777985,0.161476433568629,"T4"
"157",1,"R1","Ambient",0.138056171969578,-0.341460137165369,0.479516309134947,"T5"
"158",2,"R10","Ambient",-0.00412029909370617,-0.384459973101954,0.380339674008248,"T5"
"159",3,"R11","Hot",-0.231892408440893,-0.333985881852123,0.10209347341123,"T5"
"160",4,"R12","Hot",-0.229784510566285,-0.307373129628869,0.077588619062584,"T5"
"161",5,"R13","Ambient",-0.102221724832162,-0.48078917050263,0.378567445670468,"T5"
"162",6,"R14","Ambient",0.132958290147505,-0.208837626565426,0.341795916712931,"T5"
"163",7,"R15","Ambient",0.173243935501118,-0.379244035665913,0.552487971167031,"T5"
"164",8,"R16","Ambient",0.241316090937898,-0.676144892400555,0.917460983338453,"T5"
"165",9,"R17","Ambient",0.26802023221355,-0.424056537458183,0.692076769671733,"T5"
"166",10,"R18","Ambient",0.326822810683444,-0.274393664334951,0.601216475018395,"T5"
"167",11,"R19","Hot",-0.419077503194767,-0.475804728986791,0.056727225792024,"T5"
"168",12,"R2","Ambient",0.0692232424632812,-0.27598468920471,0.345207931667991,"T5"
"169",13,"R20","Hot",-0.359478597885597,-0.359114614508228,-0.000363983377368982,"T5"
"170",14,"R21","Hot",-0.138337440144749,-0.365018711923346,0.226681271778597,"T5"
"171",15,"R22","Ambient",0.0988432218984699,-0.20548632773853,0.304329549637,"T5"
"172",16,"R23","Ambient",-0.0432976128733416,-0.441133864283363,0.397836251410021,"T5"
"173",17,"R24","Hot",-0.229492435985311,-0.30323591168171,0.073743475696399,"T5"
"174",18,"R25","Ambient",0.211441864967791,-0.295456658575986,0.506898523543777,"T5"
"175",19,"R26","Hot",-0.166247091345944,-0.456797687267144,0.2905505959212,"T5"
"176",20,"R27","Hot",-0.136062992879999,-0.28659295921773,0.150529966337731,"T5"
"177",21,"R28","Hot",-0.196050107240207,-0.594150153099676,0.398100045859469,"T5"
"178",22,"R29","Hot",-0.208516511270356,-0.398703331402861,0.190186820132505,"T5"
"179",23,"R3","Hot",-0.113654511233175,-0.464640713903424,0.350986202670249,"T5"
"180",24,"R31","Hot",-0.492485554507068,-0.538149767259298,0.04566421275223,"T5"
"181",25,"R32","Ambient",0.123385337604759,-0.386654411308063,0.510039748912822,"T5"
"182",26,"R33","Ambient",0.0805533404370041,-0.325478888989539,0.406032229426543,"T5"
"183",27,"R34","Ambient",0.139223736382726,-0.301836108646536,0.441059845029262,"T5"
"184",28,"R35","Hot",-0.245417764206228,-0.458590568526355,0.213172804320127,"T5"
"185",29,"R36","Hot",-0.372376290008298,-0.465861518219837,0.093485228211539,"T5"
"186",30,"R37","Hot",-0.308777291226609,-0.375086026732887,0.066308735506278,"T5"
"187",31,"R38","Hot",-0.0713167696027091,-0.291008993928508,0.219692224325799,"T5"
"188",32,"R39","Ambient",0.089706900037103,-0.435458404193662,0.525165304230765,"T5"
"189",33,"R40","Ambient",0.0174251077840118,-0.502840177364296,0.520265285148308,"T5"
"190",34,"R5","Ambient",0.281813896953109,-0.330367832278501,0.61218172923161,"T5"
"191",35,"R6","Ambient",0.336265848344998,-0.169691193146885,0.505957041491883,"T5"
"192",36,"R7","Ambient",0.155203731079126,-0.618270198818954,0.77347392989808,"T5"
"193",37,"R8","Hot",-0.281860639541152,-0.344616590042537,0.062755950501385,"T5"
