"","Fragment.ID","X","Temp.Cat.x","Pnet_umol.cm2.hr","Rdark_umol.cm2.hr","Pgross_umol.cm2.hr","Timepoint","PR","Temp.Cat.y","Group","abs.Rdark_umol.cm2.hr"
"35","R37",30,"Hot",-0.308777291226609,-0.375086026732887,0.066308735506278,"T3",0.176782739905955,"Hot","Bleached",0.375086026732887
"36","R37",31,"Hot",0.250899230871371,-0.86624371774898,1.11714294862035,"T1",1.28964046229779,"Hot","Bleached",0.86624371774898
"37","R40",35,"Ambient",0.307722742490399,-0.390991882383731,0.69871462487413,"T2",1.78703102635873,"Ambient","Control",0.390991882383731
"38","R40",35,"Ambient",0.228090259655081,-0.732118048729439,0.96020830838452,"T1",1.31154847234121,"Ambient","Control",0.732118048729439
"39","R40",33,"Ambient",0.0174251077840118,-0.502840177364296,0.520265285148308,"T3",1.03465337212183,"Ambient","Control",0.502840177364296
"40","R7",38,"Ambient",0.738801590983175,-0.544808290019197,1.28360988100237,"T2",2.35607626484013,"Ambient","Control",0.544808290019197
"41","R7",38,"Ambient",0.157381753493615,-0.688793052362879,0.846174805856494,"T1",1.2284891709545,"Ambient","Control",0.688793052362879
"42","R7",36,"Ambient",0.155203731079126,-0.618270198818954,0.77347392989808,"T3",1.2510289698187,"Ambient","Control",0.618270198818954
"43","R8",39,"Hot",-0.442058320379591,-0.544487504807649,0.102429184428058,"T2",0.188120358178363,"Hot","Bleached",0.544487504807649
"44","R8",39,"Hot",0.267555333297523,-0.49565373998718,0.763209073284703,"T1",1.53980291423695,"Hot","Bleached",0.49565373998718
"45","R8",37,"Hot",-0.281860639541152,-0.344616590042537,0.062755950501385,"T3",0.182103683672451,"Hot","Bleached",0.344616590042537
