"","Fragment.ID","Intercept","umol.L.sec","V4","V5"
"47","R21",169.128543015606,-0.000502103241296488,NA,"Photo"
"48","R21",169.082086995968,-0.00101239919354841,NA,"Resp"
"49","R22",183.838683176692,0.000328101503759452,NA,"Photo"
"50","R22",184.468393614719,-0.000548593073593058,NA,"Resp"
"51","R23",179.999646791444,-0.000125019098548507,NA,"Photo"
"52","R23",179.660955282146,-0.00183181621954972,NA,"Resp"
"53","R24",168.205308194073,-0.00101519050802147,NA,"Photo"
"54","R24",166.557034478261,-0.00131882608695661,NA,"Resp"
"55","R25",186.334959683794,0.000520835686053228,NA,"Photo"
"56","R25",187.082106357596,-0.000633992751434608,NA,"Resp"
"57","R26",190.346180727491,-0.000772996398559389,NA,"Photo"
"58","R26",189.460709395109,-0.00178597168597167,NA,"Resp"
"59","R27",174.091567852063,-0.000705832147937458,NA,"Photo"
"60","R27",173.104202000108,-0.00129143100234993,NA,"Resp"
"61","R28",193.506664242425,-0.000647792207792465,NA,"Photo"
"62","R28",192.528515923077,-0.00156976923076937,NA,"Resp"
"63","R29",165.596443877551,-0.000749999999999971,NA,"Photo"
"64","R29",164.71565796371,-0.00128223057184741,NA,"Resp"
"65","R3",171.611266828728,-0.000478859087594243,NA,"Photo"
"66","R3",171.298748157295,-0.00133174392097273,NA,"Resp"
"67","R31",167.157267852063,-0.00120763394973925,NA,"Photo"
"68","R31",165.660647166667,-0.00134745652173918,NA,"Resp"
"69","R32",158.726245317082,0.000380232771261065,NA,"Photo"
"70","R32",158.884275073892,-0.00100118226600997,NA,"Resp"
"71","R33",175.996223853813,0.000339555750081992,NA,"Photo"
"72","R33",176.267608795547,-0.00113227732793523,NA,"Resp"
"73","R34",180.886544409582,0.000347560728744937,NA,"Photo"
"74","R34",181.026453833992,-0.000617470355731234,NA,"Resp"
"75","R35",169.336453556188,-0.000789260312944563,NA,"Photo"
"76","R35",168.369327631579,-0.00133439849624053,NA,"Resp"
"77","R36",185.712908976724,-0.00143054018445323,NA,"Photo"
"78","R36",183.736035765306,-0.00178270408163272,NA,"Resp"
"79","R37",187.762797042862,-0.000904350909651557,NA,"Photo"
"80","R37",186.550749251394,-0.00109953024453035,NA,"Resp"
"81","R38",171.135578863149,-0.00038868725868727,NA,"Photo"
"82","R38",170.661284263997,-0.000967319243603927,NA,"Resp"
"83","R39",177.868956067588,0.000271350507416102,NA,"Photo"
"84","R39",178.194201451613,-0.00103370967741938,NA,"Resp"
"85","R40",177.860308698278,0.000109604349139251,NA,"Photo"
"86","R40",177.820994775036,-0.00154194484760527,NA,"Resp"
"87","R5",159.173689423077,0.000562828330206397,NA,"Photo"
"88","R5",159.629984817814,-0.000579959514170099,NA,"Resp"
"89","R6",179.320431976285,0.00165208168642951,NA,"Photo"
"90","R6",181.049554732465,-0.000789550279024015,NA,"Resp"
"91","R7",186.224720210957,0.000556149587494499,NA,"Photo"
"92","R7",187.006323974177,-0.00197678082941237,NA,"Resp"
"93","R8",171.040986386555,-0.00100431372549013,NA,"Photo"
"94","R8",169.535148168067,-0.00122715966386556,NA,"Resp"
